,location,dag_file_name,task,missing_file_name,json_file_location,error
0,D:/Dataproc_Atomation/ip/dags\10976\APP04070-MFP_kafka_to_TD_IF\dags,mfpc_return_to_vendor_extract_test_channel_10976_tech_nap_merch.py,livy_read_from_s3_extract_to_s3_stage_job_rtv_first_exec_09,mfpc_return_to_vendor_extract_test_channel_10976_tech_nap_merch_read_from_s3_extract_to_s3_stage_rtv_extract_test_channel.sql  ,D:/Dataproc_Atomation/ip/dags\10976\APP04070-MFP_kafka_to_TD_IF\user_config\argument_mfpc_return_to_vendor_extract_test_channel_10976_tech_nap_merch_read_from_s3_extract_to_s3_stage_job_rtv_first_exec_09.json,"spark sql is not present or sql file is greater, len is :208"
1,D:/Dataproc_Atomation/ip/dags\10976\APP04070-MFP_kafka_to_TD_IF\dags,mfpc_return_to_vendor_extract_with_new_channel_10976_tech_nap_merch.py,livy_read_from_s3_extract_to_s3_stage_job_rtv_first_exec_09,mfpc_return_to_vendor_extract_with_new_channel_10976_tech_nap_merch_read_from_s3_extract_to_s3_stage_rtv_extract_new_channel.sql  ,D:/Dataproc_Atomation/ip/dags\10976\APP04070-MFP_kafka_to_TD_IF\user_config\argument_mfpc_return_to_vendor_extract_with_new_channel_10976_tech_nap_merch_read_from_s3_extract_to_s3_stage_job_rtv_first_exec_09.json,"spark sql is not present or sql file is greater, len is :212"
2,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\dags,backfill_analytical_session_fact_11521_ACE_ENG.py,livy_asf_load_to_hive_job_1_asf_to_hive,sessions/backfill_analytical_session_fact_11521_ACE_ENG_asf_load_to_hive_analytical_session_fact_load.sql  ,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\user_config\argument_backfill_analytical_session_fact_11521_ACE_ENG_asf_load_to_hive_job_1_asf_to_hive.json,"spark sql is not present or sql file is greater, len is :180"
3,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\dags,backfill_browse_session_analytical_11521_ACE_ENG.py,livy_run_hive_hive_sql_job_0,speed/backfill_browse_session_analytical_11521_ACE_ENG_run_hive_hive_sql_browse_session_analytical.sql  ,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\user_config\argument_backfill_browse_session_analytical_11521_ACE_ENG_run_hive_hive_sql_job_0.json,"spark sql is not present or sql file is greater, len is :171"
4,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\dags,backfill_chargeback_transaction_11521_ACE_ENG.py,livy_read_write_s3_td_stage_0_job_1,chargeback/backfill_chargeback_transaction_11521_ACE_ENG_read_write_s3_td_stage_0_chargeback_load.sql  ,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\user_config\argument_backfill_chargeback_transaction_11521_ACE_ENG_read_write_s3_td_stage_0_job_1.json,"spark sql is not present or sql file is greater, len is :175"
5,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\dags,backfill_customer_attributes_table_11521_ACE_ENG.py,livy_tpt_export_job_3_load_to_hive,digital_merch/backfill_customer_attributes_table_11521_ACE_ENG_tpt_export_customer_attributes_table_load.sql  ,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\user_config\argument_backfill_customer_attributes_table_11521_ACE_ENG_tpt_export_job_3_load_to_hive.json,"spark sql is not present or sql file is greater, len is :177"
6,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\dags,backfill_customer_cohort_trips_11521_ACE_ENG.py,livy_update_hive_job_0,leapfrog_holdout/backfill_customer_cohort_trips_11521_ACE_ENG_update_hive_customer_cohort_trips_hive.sql  ,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\user_config\argument_backfill_customer_cohort_trips_11521_ACE_ENG_update_hive_job_0.json,"spark sql is not present or sql file is greater, len is :161"
7,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\dags,backfill_daily_session_customer_table_11521_ACE_ENG.py,livy_run_daily_session_customer_table_sql_job_0,digital_merch/daily_session_customer_table/backfill_daily_session_customer_table_11521_ACE_ENG_run_daily_session_customer_table_sql_daily_session_customer_table.sql  ,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\user_config\argument_backfill_daily_session_customer_table_11521_ACE_ENG_run_daily_session_customer_table_sql_job_0.json,"spark sql is not present or sql file is greater, len is :193"
8,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\dags,backfill_digital_merch_table_11521_ACE_ENG.py,livy_tpt_export_job_3_load_to_hive,digital_merch/backfill_digital_merch_table_11521_ACE_ENG_tpt_export_digital_merch_load.sql  ,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\user_config\argument_backfill_digital_merch_table_11521_ACE_ENG_tpt_export_job_3_load_to_hive.json,"spark sql is not present or sql file is greater, len is :171"
9,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\dags,backfill_digital_merch_table_11521_ACE_ENG.py,livy_create_as_is_merch_table_job_1_run_sql,digital_merch/as_is_table/backfill_digital_merch_table_11521_ACE_ENG_create_as_is_merch_table_digital_merch_table_as_is.sql  ,D:/Dataproc_Atomation/ip/dags\11521\APP07324-Analytics-Insights\backfill\user_config\argument_backfill_digital_merch_table_11521_ACE_ENG_create_as_is_merch_table_job_1_run_sql.json,"spark sql is not present or sql file is greater, len is :180"
