Store_num,Store_Name,Assortment_Cluster
3,WA SOUTHCNTR RK,B
11,AK ANCHORAGE RK,C
14,WA FACTORIA RK,A
15,WA LYNNWOOD RK,B
16,WA DT SEA RK,A
17,WA AUBURN RK,B
22,OR CLACKAMAS RK,C
27,OR TANASBRN RK,C
28,OR DT PRTLND RK,C
33,UT SLC SUGAR RK,B
36,CO PKMEADOWS RK,C
47,HI WAIKIKI RK,D
48,HI WARD VLLG RK,B
71,UT SANDY RK,C
72,UT FRMNGTN RK,D
74,UT OREM RK,D
109,WA SPOKANE RK,C
110,CO LKWD BLMR RK,C
111,WA NORTHGATE RK,B
112,OR EUGENE RK,D
113,OR CASCADE RK,C
120,WA TACOMA RACK,C
125,OR WA SQUARE RK,B
130,ID BOISE RK,D
135,CO BOULDER RK,C
136,CO DEN CHRRY RK,B
137,CO COSPRINGS RK,D
138,WA BELLEVUE RK,B
139,WA TOTM LAKE RK,C
140,CO FT COLLNS RK,D
148,CO WESTMNSTR RK,D
150,AZ TEMPE MKT RK,D
151,AZ TCSN WLMT RK,D
154,AZ GILBERT RK,C
155,NM ALBQRQUE RK,D
160,CA L NIGUEL RK,C
161,CA S CLARITA RK,C
162,CA EL SEGNDO RK,C
163,CA LOS ANGLS RK,D
164,CA NORTHRDGE RK,C
165,CA LONGBEACH RK,D
166,CA LA JOLLA RK,B
167,CA CERRITOS RK,B
168,CA TUSTIN RK,B
200,KS Overland Crossing Rk,C
217,CO Southlands Rk,C
224,IL WOODFIELD RK,B
229,IL NORTHBRK RK,C
231,MI TROY RK,B
233,MN MOA RK,C
241,OH E CLVLND RK,B
242,IL ORLAND PK RK,C
243,OH CINCNNTI RK,C
244,IL OLD ORCRD RK,B
245,IL CHI AVE RK,A
246,MO STL BRENT RK,C
247,IN INDIANPLS RK,B
248,KS KANSAS CY RK,B
249,MO MANCHESTR RK,D
250,KS Bradley Fair Rk,C
253,IL VERNON HL RK,C
256,MN WOODBURY RK,D
264,IL NORRIDGE RK,C
265,IN SCHRVLLE RK,D
266,MI ANN ARBOR RK,D
267,MI ABRN HLLS RK,D
268,IL LNCLN PK RK,B
269,IL NAPERVLL RK,B
270,IL OAK BROOK RK,A
271,MN MAPLE GR RK,D
272,WI MILWAUKEE RK,C
273,MI GRND RPDS RK,D
274,IL STATE ST RK,A
275,MN STLOUISPK RK,C
276,OH EASTON RK,D
277,OH W CLVLND RK,C
278,OH SUN CTR RK,C
279,OH DAYTON RK,D
280,IL SO LOOP RK,D
281,KY LOUISVLLE RK,D
284,IA D MOINES RK,D
285,IL KILDEER RK,C
286,WI MADISON RK,D
287,IL ALGONQUIN RK,D
288,MI NOVI RK,C
289,IL ROSEMONT RK,D
328,CA CHINO RK,C
329,CA BREA RK,B
331,CA PALM DSRT RK,C
332,CA LB AIRPRT RK,C
334,CA UPLAND RK,C
336,CA ORANGE RK,C
337,CA LAGUNA RK,C
338,CA METRO PT RK,A
347,CA CULVER CY RK,B
350,CA GLENDALE RK,B
351,CA LA BEV CN RK,B
352,CA PASADENA RK,A
354,CA BURBANK RK,B
356,CA HUNT BCH RK,C
357,CA RIVERSIDE RK,C
358,CA WDLND HLS RK,A
359,CA W COVINA RK,D
363,CA NATL CTY RK,C
366,CA BAKERSFLD RK,C
367,AZ PHOENIX RK,B
368,CA TEMECULA RK,C
369,CA SD CARMEL RK,B
370,CA REDONDO RK,A
371,NV SUMMERLIN RK,B
372,CA OXNARD RK,C
373,TX EL PASO RK,C
374,CA ONTARIO RK,D
376,NV LV STEPH RK,C
377,AZ CHANDLER RK,C
378,CA SD MSN VL RK,A
379,AZ SCOTTSDL RK,A
383,CA S MARCOS RK,B
388,AZ PEORIA RK,C
389,AZ TUCSON RK,D
393,CA REDLANDS RK,D
396,CA THSND OAK RK,D
400,CA Sequoia Mall Rk,C
401,CA Bridgepointe Shopping Center Rk,B
402,CA Natomas Promenade Rk,C
403,CA San Clemente Plaza,C
405,CA The Ridge Rk,C
411,CA CANYN SPR RK,D
413,CA NoHo West Rack?,B
414,CA Anaheim Hills Festival Rk,C
416,AZ DESRT RDG RK,C
417,OR Willamette Town Center Rk,C
428,CA DALY CITY RK,B
431,CA SAN LNDR RK,C
432,CA SJ WSTGT RK,A
433,CA SACRMNTO RK,B
435,CA EMERYVLL RK,C
440,CA Pinole Vista Crossing Rk,C
441,NV Best in the West?,C
450,CA Clovis Crossing?,C
470,CA ROSEVILLE RK,B
471,CA FRESNO RK,C
472,CA EPAL ALTO RK,B
475,CA SJ OAKRDG RK,C
476,CA DUBLIN RK,C
477,NV RENO RK,D
478,CA FREMONT RK,D
479,CA PLEAS HLL RK,B
481,CA FOLSOM RK,C
482,CA SNTA ROSA RK,C
483,CA NOVATO RK,C
484,CA VACAVILLE RK,D
485,WA Cooper Point Marketplace Rk,C
490,CA Gilroy Crossing Rk,C
491,CA SLO Promenade Rk,C
497,WA Valley Mall Rk,C
509,NY 31ST&6TH RK,A
510,NY SYRACUSE RK,D
511,NY STN ISLND RK,D
513,NY GATEWAY RK,C
515,NY UNION SQ RK,A
519,NY WT PLAINS RK,C
529,NY WESTBURY RK,B
533,RI WARWICK RK,D
539,NJ PARAMUS RK,B
541,MA WESTWOOD RK,D
542,MA DANVERS RK,C
543,MA BURLINGTN RK,C
544,PA WILLOW GR RK,D
545,CT WEST FARM RK,C
546,MA FRAMNGHM RK,D
547,MA NEWBURY RK,A
548,NY MANHASSET RK,D
550,MA MILLBURY RK,D
551,PA DT PHIL RK,B
552,ME MAINE RK,D
